;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
23; Mazda 3 II (BL)  ; 2011 ; 390 000 ; 103 378 ;" Санкт-Петербург
"; 24 апреля; 4,2; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; Япония; 4; 5; 4580; 1755; 1470; 2640; 430; 1195; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
24; Mazda 2 II (DE)  ; 2008 ; 350 000 ; 90 000 ;" Санкт-Петербург
"; 23 апреля; 4,7; 1.5 л; 103 л.с.; механика; бензин; АИ-95; передний; 10.4 с; Япония; 5; 5; 3885; 1695; 1475; 2490; 250; 960; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 188; 10.4; АИ-95; переднее, поперечное; 1498; нет; 103 / 76 при 6000; 137 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 78.4
25; Mazda 6 I (GG)  ; 2004 ; 230 000 ; 276 500 ;" Санкт-Петербург
"; 23 апреля; 4,4; 2.0 л; 141 л.с.; автомат; бензин; АИ-95; передний; 11.1 с; Япония; 4; 5; 4670; 1780; 1435; 2675; 500; 1275; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.1; АИ-95; переднее, поперечное; 1999; нет; 141 / 104 при 6000; 181 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
26; Mazda 323 VI (BJ) Рестайлинг  ; 2003 ; 175 000 ; 208 000 ;" Санкт-Петербург
"; 21 января; 4,4; 1.3 л; 73 л.с.; механика; бензин; АИ-95; передний; 15.3 с; Япония; 5; 5; 4250; 1705; 1420; 2610; 900; 1080; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 162; 15.3; АИ-95; переднее, поперечное; 1324; нет; 73 / 53 при 5500; 108 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 78 × 78.4
27; Mazda CX-7 I Рестайлинг  ; 2010 ; 620 000 ; 88 381 ;" Сургут
"; 2 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28; Mazda 6 I (GG)  ; 2004 ; 270 000 ; 192 000 ;" Москва
"; 23 апреля; 4,4; 2.0 л; 141 л.с.; автомат; бензин; АИ-95; передний; 11.1 с; Япония; 4; 5; 4670; 1780; 1435; 2675; 500; 1275; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.1; АИ-95; переднее, поперечное; 1999; нет; 141 / 104 при 6000; 181 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
29; Mazda 3 I (BK) Рестайлинг  ; 2008 ;425 000 ; 131 500 ;" Санкт-Петербург
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 4; 5; 4490; 1755; 1465; 2640; 420/675; 1279; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
30; Mazda CX-9 I  ; 2008 ; 690 000 ; 140 000 ;" Нижний Новгород
"; 24 апреля; 4,6; 3.7 л; 277 л.с.; автомат; бензин; АИ-95; полный; 10.1 с; Япония; 5; 6; 5047; 1936; 1728; 2875; 267/1911; 2115; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 10.1; АИ-95; переднее, поперечное; 3726; нет; 277 / 204 при 6250; 366 при 4250; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 95.5 × 86.7
31; Mazda CX-7 I  ; 2008 ; 598 000 ; 131 000 ;" Пермь
"; 24 апреля; 4,6; 2.3 л; 238 л.с.; автомат; бензин; АИ-95; полный; 8.3 с; Япония; 5; 5; 4680; 1870; 1645; 2750; 455/774; 1831; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 8.3; АИ-95; переднее, поперечное; 2260; турбонаддув; 238 / 175 при 5000; 350 при 2500; рядное; 4; 4; непосредственный впрыск (прямой); 9.5; 87.5 × 94
32; Mazda CX-7 I  ; 2008 ; 450 000 ; 183 000 ;" Москва
"; 7 апреля 2017; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33; Mazda CX-5 I  ; 2013 ; 1 030 000 ; 107 714 ;" Ломоносов
"; 13 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34; Mazda CX-9 I Рестайлинг  ; 2012 ; 1 000 000 ; 131 470 ;" Москва
"; 19 марта; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35; Mazda CX-7 I Рестайлинг  ; 2010 ; 740 000 ; 105 000 ;" Владимир
"; 26 октября 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36; Mazda 3 II (BL) Рестайлинг  ; 2012 ; 550 000 ; 69 000 ;" Тольятти
"; 23 апреля;  ; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 12.1 с; Япония; 4; 5; 4580; 1755; 1470; 2640; 430; 1260; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 188; 12.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
37; Mazda 6 III  ; 2014 ; 880 000 ; 54 000 ;" Красноярск
"; 16 апреля; 4,5; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4870; 1840; 1450; 2830; 483; 1330; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 10.5; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
38; Mazda B-series V  ; 2006 ; 425 000 ; 150 000 ;" Вологда
"; 24 апреля; 4,5; 2.5 л; 109 л.с.; механика; дизель; ДТ; задний;; Япония; 4; 5; 5154; 1763; 1740; 3198; ;; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 130;; ДТ;; 2499; турбонаддув; 109 / 80 при 3500; 266 при 2000; рядное; 4; 3; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 20.1; 93 × 92
39; Mazda B-series V  ; 2006 ; 425 000 ; 150 000 ;" Кольчугино
"; 24 апреля; 4,5; 2.5 л; 109 л.с.; механика; дизель; ДТ; задний;; Япония; 4; 5; 5154; 1763; 1740; 3198; ;; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 130;; ДТ;; 2499; турбонаддув; 109 / 80 при 3500; 266 при 2000; рядное; 4; 3; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 20.1; 93 × 92
40; Mazda 6 II (GH) Рестайлинг  ; 2011 ; 599 000 ; 153 000 ;" Люберцы
"; 24 апреля; 4,8; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; передний; 10.9 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 519; 1355; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.9; АИ-95; переднее, поперечное; 1999; нет; 147 / 108 при 6500; 184 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87.5 × 83.1
41; Mazda 3 I (BK) Рестайлинг  ; 2008 ; 448 000 ; 108 255 ;" Москва
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 5; 5; 4415; 1755; 1465; 2640; 300/1250; 1290; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
42; Mazda 3 I (BK)  ; 2005 ; 340 000 ; 14 700 ;" Москва
"; 24 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Япония; 5; 5; 4420; 1755; 1465; 2640; 300/635; 1260; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.4; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
43; Mazda CX-5 I  ; 2013 ; 1 030 000 ; 107 714 ;" Сергиев Посад
"; 13 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44; Mazda 3 I (BK) Рестайлинг  ; 2007 ; 359 000 ; 145 000 ;" Москва
"; 24 апреля; 4,3; 2.0 л; 150 л.с.; механика; бензин; АИ-95; передний; 9.1 с; Япония; 5; 5; 4415; 1755; 1465; 2640; 300/1250; 1327; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 202; 9.1; АИ-95; переднее, поперечное; 1999; нет; 150 / 110 при 6000; 187 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
45; Mazda 6 II (GH) Рестайлинг  ; 2010 ; 585 000 ; 91 000 ;" Санкт-Петербург
"; 23 апреля; 4,8; 1.8 л; 120 л.с.; механика; бензин; АИ-95; передний; 11.4 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 519; 1295; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 196; 11.4; АИ-95; переднее, поперечное; 1798; нет; 120 / 88 при 5500; 165 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
46; Mazda 6 I (GG)  ; 2004 ; 215 000 ; 180 400 ;" Тверь
"; 23 апреля; 4,4; 1.8 л; 120 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Япония; 4; 5; 4670; 1780; 1435; 2675; 500; 1245; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 10.7; АИ-95; переднее, поперечное; 1798; нет; 120 / 88 при 5500; 165 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
47; Mazda 3 I (BK) Рестайлинг  ; 2006 ; 300 000 ; 323 ;" Москва
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 4; 5; 4490; 1755; 1465; 2640; 420/675; 1279; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
48; Mazda 3 I (BK) Рестайлинг  ; 2006 ; 265 000 ; 142 000 ;" Москва
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 11.2 с; Япония; 4; 5; 4490; 1755; 1465; 2640; 420/675; 1245; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 182; 11.2; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
49; Mazda 3 I (BK) Рестайлинг  ; 2007 ; 375 000 ; 94 125 ;" Санкт-Петербург
"; 22 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 4; 5; 4490; 1755; 1465; 2640; 420/675; 1279; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
50; Mazda 3 I (BK) Рестайлинг  ; 2008 ;395 000 ; 167 527 ;" Сочи
"; 17 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51; Mazda 3 II (BL)  ; 2011 ; 490 000 ; 118 720 ;" Санкт-Петербург
"; 23 апреля; 4,2; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; Япония; 4; 5; 4580; 1755; 1470; 2640; 430; 1195; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
52; Mazda 6 II (GH)  ; 2008 ; 489 000 ; 103 000 ;" Санкт-Петербург
"; 23 апреля; 4,4; 1.8 л; 120 л.с.; механика; бензин; АИ-95; передний; 11.3 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 501; 1355; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 11.3; АИ-95; переднее, поперечное; 1798; нет; 120 / 88 при 5500; 165 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
53; Mazda 3 I (BK) Рестайлинг  ; 2006 ; 355 000 ; 116 000 ;" Санкт-Петербург
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 5; 5; 4415; 1755; 1465; 2640; 300/1250; 1290; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
54; Mazda 6 II (GH)  ; 2008 ; 465 000 ; 81 000 ;" Раменское
"; 23 апреля; 4,4; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; передний; 10.8 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 501; 1395; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 204; 10.8; АИ-95; переднее, поперечное; 1999; нет; 147 / 108 при 6500; 184 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87.5 × 83.1
55; Mazda 3 I (BK) Рестайлинг  ; 2006 ; 285 000 ; 188 000 ;" Екатеринбург
"; 23 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.6 с; Япония; 5; 5; 4415; 1755; 1465; 2640; 300/1250; 1290; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 12.6; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
