;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
22; Subaru Tribeca I Рестайлинг  ; 2007 ; 775 000 ; 119 000 ;" Самара
"; 23 апреля; 4,6; 3.6 л; 258 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Япония; 5; 5, 7; 4855; 1880; 1675; 2750; 525/1671; 1908; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 8.9; АИ-95; переднее, продольное; 3630; нет; 258 / 190 при 6000; 350 при 4000; оппозитное; 6; 4; распределенный впрыск (многоточечный); 10.5; 92 × 91
23; Subaru Forester III  ; 2010 ; 778 000 ; 238 000 ;" Санкт-Петербург
"; 23 апреля; 4,2; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.7 с; Япония; 5; 5; 4560; 1780; 1700; 2615; 450/1660; 1495; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12.7; АИ-95; переднее, продольное; 1994; нет; 150 / 110 при 6000; 196 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.2; 92 × 75
24; Subaru Legacy IV Рестайлинг  ; 2007 ; 450 000 ; 200 000 ;" Старый Оскол
"; 23 апреля; 4,5; 2.5 л; 250 л.с.; автомат; бензин; АИ-95; полный;; Япония; 5; 5; 4720; 1730; 1470; 2670; 459/1649; 1525; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-95; переднее, продольное; 2457; турбонаддув; 250 / 184 при 6000; 339 при 3600; оппозитное; 4; 4; распределенный впрыск (многоточечный);; 
25; Subaru Forester III Рестайлинг  ; 2011 ; 710 000 ; 92 200 ;" Череповец
"; 23 апреля; 4,1; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.4 с; Япония; 5; 5; 4560; 1780; 1700; 2615; 450/1660; 1500; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12.4; АИ-95; переднее, продольное; 1995; нет; 150 / 110 при 6000; 198 при 4200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
26; Subaru Forester II  ; 2004 ; 450 000 ; 113 000 ;" Кировск
"; 23 апреля; 4,4; 2.0 л; 177 л.с.; механика; бензин; АИ-95; полный; 8.3 с; Япония; 5; 5; 4485; 1735; 1650; 2525; 387/1592; 1410; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 202; 8.3; АИ-95; переднее, продольное; 1994; турбонаддув; 177 / 130 при 5600; 245 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 8; 92 × 75
27; Subaru Leone III  ; 1989 ; 65 000 ; 230 500 ;" Орёл
"; 24 апреля;  ; 1.8 л; 95 л.с.; механика; бензин;; полный;; Япония; 5; 5; 4410; 1660; 1420; 2470; ;; механика; 5; полный; независимая, пружинная;; дисковые;;;;; центральное; 1781; нет; 95 / 70 при 5200; 140 при 3200; оппозитное; 4;; распределенный впрыск (многоточечный); 7.7; 92 × 67
28; Subaru Forester IV  ; 2015 ; 1 249 999 ; 84 000 ;" Калуга
"; 23 апреля; 4,5; 2.5 л; 175 л.с.; вариатор; бензин; АИ-95; полный; 9.9 с; Япония; 5; 5; 4595; 1795; 1735; 2640; 488/1577; 1513; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 196; 9.9; АИ-95; переднее, продольное; 2498; нет; 175 / 129 при 5800; 235 при 4100; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 94 × 90
29; Subaru Forester III Рестайлинг  ; 2011 ; 700 000 ; 91 522 ;" Рязань
"; 27 марта; 4,1; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.4 с; Япония; 5; 5; 4560; 1780; 1700; 2615; 450/1660; 1500; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12.4; АИ-95; переднее, продольное; 1995; нет; 150 / 110 при 6000; 198 при 4200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
30; Subaru Forester III Рестайлинг  ; 2011 ; 889 000 ; 68 000 ;" Москва
"; 23 апреля; 4,1; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.4 с; Япония; 5; 5; 4560; 1780; 1700; 2615; 450/1660; 1500; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12.4; АИ-95; переднее, продольное; 1995; нет; 150 / 110 при 6000; 198 при 4200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
31; Subaru Outback IV  ; 2010 ; 850 000 ; 162 000 ;" Одинцово
"; 23 апреля; 4,6; 2.5 л; 167 л.с.; вариатор; бензин; АИ-95; полный; 10.4 с; Япония; 5; 5; 4775; 1820; 1605; 2745; 460/1660; 1533; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 198; 10.4; АИ-95; переднее, продольное; 2457; нет; 167 / 123 при 5600; 229 при 4000; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 99.5 × 79
