;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
329; Dodge Nitro  ; 2007 ; 640 000 ; 144 500 ;" Нижний Новгород
"; 27 августа 2017; 4,2; 3.7 л; 205 л.с.; автомат; бензин; АИ-92; полный; 10.3 с; США; 5; 5; 4584; 1856; 1755; 2763; 397/1479; 1875; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-92; переднее, продольное; 3701; нет; 205 / 151 при 5200; 314 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.1; 93 × 90.8
330; Dodge Dakota II  ; 2002 ; 580 000 ; 301 000 ;" Санкт-Петербург
"; 24 августа 2017;  ; 3.9 л; 177 л.с.; автомат; бензин; АИ-92; полный;; США; 4; 6; 5463; 1818; 1699; 3327; ;; автомат; 4; полный; независимая, торсионная; зависимая, рессорная; дисковые; дисковые;;; АИ-92; переднее, продольное; 3906; нет; 177 / 130 при 4800; 305 при 3200; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.1; 99.3 × 84.1
331; Dodge RAM III (DR/DH)  ; 2004 ; 750 000 ; 176 000 ;" Москва
"; 20 августа 2017; 4,8; 5.7 л; 345 л.с.; автомат; бензин; АИ-92; полный;; США; 2; 3; 5308; 2017; 1894; 3061; ;; автомат; 5; полный; независимая, пружинная;; дисковые; дисковые;;; АИ-92;; 5657; нет; 345 / 254 при 5000; 529 при 4000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.6; 99.55 × 90.9
332; Dodge Caliber I  ; 2008 ; 430 000 ; 173 580 ;" Липецк
"; 16 августа 2017; 4,3; 1.8 л; 150 л.с.; механика; бензин; АИ-95; передний; 11.9 с; США; 5; 5; 4415; 1800; 1535; 2635; 352/1013; 1325; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 184; 11.9; АИ-95; переднее, поперечное; 1798; нет; 150 / 110 при 6500; 168 при 5200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 77.4
333; Dodge RAM III (DR/DH)  ; 2006 ; 1 250 000 ; 230 000 ;" Выборг
"; 1 августа 2017; 4,8; 5.9 л; 325 л.с.; автомат; дизель; ДТ; полный; 9.9 с; США; 4; 6; 6297; 2032; 1905; 4077; 1634; 2550; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые;; 175; 9.9; ДТ; переднее, продольное; 5900; турбонаддув; 325 / 206 при 2900; 827 при 1600; рядное; 6; 4; двигатель с разделенными камерами сгорания (вихрекамерный или предкамерный);; 
334; Dodge Caravan IV  ; 2002 ; 250 000 ; 182 000 ;" Москва
"; 12 июля 2017; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
335; Dodge Stratus I  ; 1995 ; 75 000 ; 248 000 ;" Москва
"; 18 июня 2017; 4,0; 2.5 л; 170 л.с.; автомат; бензин; АИ-92; передний; 9.4 с; США; 4; 5; 4725; 1820; 1370; 2740; 445; 1370; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые;; 210; 9.4; АИ-92; переднее, поперечное; 2497; нет; 170 / 125 при 5800; 230 при 4350; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.4; 83.5 × 76
336; Dodge Avenger II  ; 2007 ; 470 000 ; 296 000 ;" Москва
"; 19 мая 2017; 4,6; 2.4 л; 175 л.с.; автомат; бензин; АИ-92; передний; 10.4 с; США; 4; 5; 4850; 1843; 1497; 2765; 452; 1560; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-92;; 2360; нет; 175 / 129 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
337; Dodge Challenger III  ; 2009 ; 1 300 000 ; 78 000 ;" Вышний Волочёк
"; 11 апреля 2017; 4,8; 3.5 л; 254 л.с.; автомат; бензин; АИ-92; задний;; США; 2; 5; 5020; 1920; 1450; 2950; 460; 1688; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92; переднее, продольное; 3518; нет; 254 / 187 при 6400; 339 при 3800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 96 × 81
338; Dodge RAM IV (DS/DJ)  ; 2012 ; 2 200 000 ; 110 000 ;" Орехово-Зуево
"; 7 февраля 2017; 4,8; 5.7 л; 396 л.с.; автомат; бензин; АИ-95; полный;; США; 4; 6; 5816; 2017; 1923; 3570; ; 1750; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 5654; нет; 396 / 291 при 5600; 556 при 3950; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 
