;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
10; Isuzu Axiom  ; 2003 ; 540 000 ; 160 000 ;" Калуга
"; 25 февраля; 4,6; 3.5 л; 233 л.с.; автомат; бензин; АИ-95; полный; 8.1 с; Япония; 5; 5; 4638; 1796; 1707; 2702; 997/2418; 1935; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180; 8.1; АИ-95; переднее, продольное; 3494; нет; 233 / 171 при 5400; 312 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.1; 93.4 × 85
11; Isuzu Rodeo II  ; 2002 ; 270 000 ; 178 000 ;" Тольятти
"; 19 января; 4,1; 2.2 л; 130 л.с.; автомат; бензин; АИ-95; задний;; Япония; 5; 5; 4509; 1788; 1806; 2702; 935/2297; 1585; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-95; переднее, продольное; 2198; нет; 130 / 96 при 5200; 195 при 4000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.6; 86 × 94.6
12; Isuzu Trooper I  ; 1991 ; 330 000 ; 270 000 ;" Кохма
"; 20 апреля; 3,9; 2.8 л; 110 л.с.; механика; дизель; ДТ; полный;; Япония; 5; 5; 4470; 1651; 1821; 2649; ;; механика; 4; полный; независимая, торсионная;; дисковые; дисковые;;; ДТ;; 2771; турбонаддув; 110 / 81 при 3600; 226 при 2300; рядное; 4;; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17; 93 × 102
13; Isuzu Axiom  ; 2002 ; 354 000 ; 89 999 ;" Щелково
"; 18 апреля; 4,6; 3.5 л; 233 л.с.; автомат; бензин; АИ-95; полный; 8.1 с; Япония; 5; 5; 4638; 1796; 1707; 2702; 997/2418; 1935; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180; 8.1; АИ-95; переднее, продольное; 3494; нет; 233 / 171 при 5400; 312 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.1; 93.4 × 85
14; Isuzu D-Max II  ; 2017 ; 2 195 000 ; 1 ;" Санкт-Петербург
"; 19 февраля;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
15; Isuzu D-Max II  ; 2017 ; 2 115 000 ; 100 ;" Череповец
"; 17 октября 2017;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
16; Isuzu D-Max II Arctic Trucks AT35  ; 2017 ; 2 900 000 ; 100 ;" Троицк
"; 17 октября 2017;  ; 2.5 л; 163 л.с.; механика; дизель; ДТ; полный;; Япония; 4; 5; 5295; 2040; 1910; 3095; ; 2110; механика; 6; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 160;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
17; Isuzu D-Max II  ; 2016 ; 2 295 000 ; 15 ;" Ува
"; 25 января;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
18; Isuzu Bighorn II  ; 1996 ; 500 000 ; 350 000 ;" Новомосковск
"; 22 апреля; 4,1; 3.1 л; 125 л.с.; автомат; дизель; ДТ; полный;; Япония; 5; 7; 4660; 1745; 1245; 2760; ; 2010; автомат; 4; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; ДТ; переднее, поперечное; 3059; турбонаддув; 125 / 92 при 3600; 274 при 2000; рядное; 4; 4; распределенный впрыск (многоточечный); 20; 95.4 × 107
19; Isuzu Bighorn II  ; 1996 ; 430 000 ; 201 000 ;" Гай
"; 14 апреля; 4,1; 3.1 л; 125 л.с.; автомат; дизель; ДТ; полный;; Япония; 5; 7; 4660; 1745; 1245; 2760; ; 2010; автомат; 4; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; ДТ; переднее, поперечное; 3059; турбонаддув; 125 / 92 при 3600; 274 при 2000; рядное; 4; 4; распределенный впрыск (многоточечный); 20; 95.4 × 107
20; Isuzu Rodeo II  ; 2000 ; 230 000 ; 140 000 ;" Самара
"; 21 марта; 4,1; 2.2 л; 130 л.с.; механика; бензин; АИ-95; задний;; Япония; 5; 5; 4509; 1788; 1806; 2702; 935/2297; 1585; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-95; переднее, продольное; 2198; нет; 130 / 96 при 5200; 195 при 4000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.6; 86 × 94.6
21; Isuzu D-Max II  ; 2017 ; 2 200 000 ; 1 ;" Чехов
"; 15 марта;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
22; Isuzu Trooper II  ; 1998 ; 530 000 ; 220 000 ;" Волгоград
"; 13 марта; 4,5; 3.1 л; 125 л.с.; механика; дизель; ДТ; полный;; Япония; 5; 5; 4795; 1835; 1840; 2760; 1190/2746; 1955; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; ДТ; переднее, продольное; 3059; турбонаддув; 125 / 92 при 3600; 260 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 20; 95.4 × 107
