;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
308; SEAT Cordoba I  ; 1997 ; 59 999 ; 100 000 ;" Москва
"; 14 апреля; 3,7; 1.6 л; 75 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Испания; 4; 5; 4109; 1640; 1408; 2440; 455/802; 955; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 170; 12.5; АИ-95; переднее, поперечное; 1598; нет; 75 / 55 при 4600; 135 при 2800; рядное; 4; 2; распределенный впрыск (многоточечный); 9.8; 76.5 × 86.9
309; SEAT Toledo I  ; 1992 ; 25 000 ; 233 300 ;" Москва
"; 10 апреля; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
310; SEAT Toledo I  ; 1993 ; 75 000 ; 343 661 ;" Москва
"; 6 апреля; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
311; SEAT Leon II Рестайлинг FR  ; 2012 ;635 000 ; 107 000 ;" Москва
"; 2 апреля; 4,8; 2.0 л; 211 л.с.; робот; бензин; АИ-95; передний; 6.9 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1425; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 233; 6.9; АИ-95; переднее, поперечное; 1984; турбонаддув; 211 / 155 при 5300 – 6200; 280 при 1700 – 5200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
312; SEAT Toledo I  ; 1996 ; 70 000 ; 200 000 ;" Москва
"; 29 марта; 3,7; 1.8 л; 90 л.с.; механика; бензин; АИ-95; передний; 12 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 1050; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 182; 12; АИ-95; переднее, поперечное; 1781; нет; 90 / 66 при 5500; 145 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10.3; 81 × 86.4
313; SEAT Ibiza I  ; 1988 ; 50 000 ; 4 444 ;" Москва
"; 12 марта;  ; 1.2 л; 60 л.с.; механика; бензин; АИ-95; передний; 16 с; Испания; 5; 5; 3685; 1610; 1410; 2445; 320/1200; 890; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 155; 16; АИ-95; переднее, поперечное; 1193; нет; 60 / 44 при 5800; 81 при 4000; рядное; 4; 2; карбюратор; 9.5; 75 × 67.5
314; SEAT Toledo II  ; 2000 ; 185 000 ; 300 000 ;" Москва
"; 14 декабря 2017; 4,5; 2.3 л; 170 л.с.; механика; бензин; АИ-95; передний; 8.5 с; Испания; 4; 5; 4439; 1742; 1436; 2513; 500; 1310; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 225; 8.5; АИ-95; переднее, поперечное; 2324; нет; 170 / 125 при 6000; 225 при 3500; V-образное с малым углом; 5; 4; распределенный впрыск (многоточечный); 10.8; 81 × 90.2
315; SEAT Ibiza II Рестайлинг  ; 1999 ; 105 000 ; 192 000 ;" Тверь
"; 14 октября 2017; 3,9; 1.4 л; 60 л.с.; механика; бензин; АИ-95; передний; 15 с; Испания; 3; 5; 3853; 1640; 1422; 2443; 270/800; 920; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 157; 15; АИ-95; переднее, поперечное; 1390; нет; 60 / 44 при 4700; 116 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 10.2; 76.5 × 75.6
316; SEAT Cordoba I Рестайлинг  ; 2001 ; 175 000 ; 225 000 ;" Красноярск
"; 20 апреля;  ; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 12.8 с; Испания; 5; 5; 4163; 1640; 1433; 2443; 350/1250; 1040; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 170; 12.8; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5000; 126 при 3300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 75.6
317; SEAT Altea I Рестайлинг  ; 2009 ; 349 990 ; 164 000 ;" Красноярск
"; 28 декабря 2017;  ; 1.6 л; 102 л.с.; механика; СУГ; Газ (Бензин); передний; 13.4 с; Испания; 5; 5; 4469; 1768; 1581; 2578; 532; 1495; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 13.4; Газ (Бензин); переднее, поперечное; 1595; нет; 102 / 75 при 5600; 148 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.3; 81 × 77.4
