;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
332; Jeep Grand Cherokee II (WJ)  ; 1999 ; 320 000 ; 320 000 ; 4 апреля; 4,1; 4.0 л; 190 л.с.; автомат; бензин; АИ-95; полный; 10.9 с; США; 5; 5; 4610; 1836; 1762; 2691; 1110/2060; 1860; автомат; 4; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 189; 10.9; АИ-95; переднее, продольное; 3956; нет; 190 / 140 при 5000; 305 при 3050; рядное; 6; 2; распределенный впрыск (многоточечный); 8.8; 98.4 × 86.7
333; Jeep Cherokee III (KJ)  ; 2003 ; 380 000 ; 150 000 ; 4 апреля; 4,4; 2.4 л; 150 л.с.; механика; бензин; АИ-92; полный; 13 с; США; 5; 5; 4437; 1819; 1796; 2650; 820/1950; 1675; механика; 5; полный; зависимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 180; 13; АИ-92; переднее, продольное; 2429; нет; 150 / 110 при 5200; 215 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
334; Jeep Liberty (North America) I  ; 2004 ; 500 000 ; 204 000 ; 4 апреля; 4,4; 3.7 л; 213 л.с.; автомат; бензин;; полный; 8.8 с; США; 5; 5; 4430; 1819; 1785; 2649; 821/1950; 1800; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 180; 8.8;; переднее, продольное; 3701; нет; 213 / 157 при 5200; 318 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.1; 93 × 90.8
335; Jeep Grand Cherokee IV (WK2) Рестайлинг  ; 2013 ; 1 700 000 ; 125 800 ; 4 апреля; 4,3; 3.6 л; 286 л.с.; автомат; бензин; АИ-95; полный; 8.3 с; США; 5; 5; 4828; 1943; 1802; 2915; 457/916; 2266; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 206; 8.3; АИ-95; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
336; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 700 000 ; 94 000 ; 4 апреля; 4,5; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2272; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 202; 8.2; ДТ; переднее, продольное; 2987; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 83 × 92
337; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 500 000 ; 63 000 ; 3 апреля; 4,5; 3.6 л; 286 л.с.; автомат; бензин; АИ-95; полный; 9.1 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2191; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 206; 9.1; АИ-95; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
338; Jeep Grand Cherokee IV (WK2)  ; 2010 ; 1 345 000 ; 152 000 ; 3 апреля; 4,5; 5.7 л; 352 л.с.; автомат; бензин; АИ-95; полный; 8.7 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2307; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 224; 8.7; АИ-95; переднее, продольное; 5654; нет; 352 / 259 при 5200; 520 при 4200; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 99.5 × 90.9
339; Jeep Grand Cherokee I (ZJ)  ; 1994 ; 220 000 ; 198 000 ; 2 апреля; 4,1; 4.0 л; 190 л.с.; автомат; бензин; АИ-92; полный; 10.2 с; США; 5; 5; 4550; 1800; 1645; 2690; 1135/2255; 1667; автомат; 4; полный; зависимая, пружинная; независимая, пружинная; дисковые; барабанные; 180; 10.2; АИ-92;; 3960; нет; 190 / 140 при 4750; 305 при 4000; рядное; 6; 2; распределенный впрыск (многоточечный); 8.8; 98.5 × 86.7
340; Jeep Cherokee V (KL)  ; 2014 ; 1 090 000 ; 110 000 ; 2 апреля; 4,5; 2.4 л; 177 л.с.; автомат; бензин; АИ-95; полный; 10.4 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1842; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.4; АИ-95; переднее, поперечное; 2360; нет; 177 / 130 при 6400; 229 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 88 × 97
341; Jeep Grand Cherokee II (WJ)  ; 2001 ; 320 000 ; 225 000 ; 2 апреля; 4,1; 4.7 л; 235 л.с.; автомат; бензин; АИ-92; полный; 9 с; США; 5; 5; 4610; 1836; 1762; 2691; 1110/2060; 1784; автомат; 5; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 200; 9; АИ-92; переднее, продольное; 4701; нет; 235 / 173 при 4800; 400 при 3200; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.3; 93 × 86.5
342; Jeep Cherokee III (KJ) Рестайлинг  ; 2006 ; 550 000 ; 155 000 ; 2 апреля;  ; 2.8 л; 163 л.с.; автомат; дизель; ДТ; полный; 12.2 с; США; 5; 5; 4496; 1819; 1818; 2649; 909/1951; 1960; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 174; 12.2; ДТ; переднее, продольное; 2768; турбонаддув; 163 / 120 при 4000; 400 при 1800; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
343; Jeep Cherokee V (KL)  ; 2014 ; 1 000 000 ; 50 000 ; 1 апреля; 4,5; 2.4 л; 177 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1738; автомат; 9; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 196; 10.5; АИ-95; переднее, поперечное; 2360; нет; 177 / 130 при 6400; 229 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 88 × 97
344; Jeep Grand Cherokee IV (WK2) Рестайлинг  ; 2013 ;1 955 555 ; 89 888 ; 31 марта; 4,3; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4828; 1943; 1802; 2915; 457/916; 2403; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 202; 8.2; ДТ; переднее, продольное; 2988; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 83 × 92
345; Jeep Grand Cherokee IV (WK2) Рестайлинг  ; 2014 ; 2 600 000 ; 25 000 ; 31 марта; 4,3; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4828; 1943; 1802; 2915; 457/916; 2403; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 202; 8.2; ДТ; переднее, продольное; 2988; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 83 × 92
346; Jeep Grand Cherokee IV (WK2) Рестайлинг SRT  ; 2014 ; 2 500 000 ; 81 000 ; 31 марта; 4,3; 6.4 л; 468 л.с.; автомат; бензин; АИ-92; полный; 5 с; США; 5; 5; 4846; 1954; 1749; 2914; 457/916; 2191; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 257; 5; АИ-92; переднее, продольное; 6425; нет; 468 / 344 при 6000; 642 при 4200; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
347; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 440 000 ; 81 300 ; 31 марта; 4,5; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2272; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 202; 8.2; ДТ; переднее, продольное; 2987; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 83 × 92
348; Jeep Compass I Рестайлинг  ; 2011 ; 720 000 ; 76 000 ; 31 марта; 4,4; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; США; 5; 5; 4448; 1812; 1718; 2635; 328/1269; 1530; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.3; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
349; Jeep Compass I Рестайлинг  ; 2011 ; 845 000 ; 97 000 ; 30 марта; 4,4; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; США; 5; 5; 4448; 1812; 1718; 2635; 328/1269; 1530; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.3; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
350; Jeep Liberty (North America) II  ; 2010 ; 950 000 ; 142 000 ; 30 марта;  ; 2.8 л; 177 л.с.; автомат; дизель; ДТ; полный;; США; 5; 5; 4493; 1838; 1808; 2684; ;; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые; дисковые;;; ДТ; переднее, продольное; 2778; турбонаддув; 177 / 130 при 3800; 400 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 94 × 100
351; Jeep Cherokee III (KJ) Рестайлинг  ; 2004 ; 700 000 ; 174 000 ; 29 марта;  ; 3.7 л; 204 л.с.; механика; бензин; АИ-92; полный; 10.8 с; США; 5; 5; 4496; 1819; 1818; 2649; 909/1951; 1770; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 10.8; АИ-92; переднее, продольное; 3701; нет; 204 / 150 при 5200; 307 при 3700; V-образное; 6; 2; распределенный впрыск (многоточечный);; 
352; Jeep Grand Cherokee III (WK)  ; 2008 ; 850 000 ; 124 000 ; 29 марта; 4,4; 3.0 л; 218 л.с.; автомат; дизель; ДТ; полный; 9 с; США; 5; 5; 4750; 1870; 1740; 2780; 978/1909; 2140; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 200; 9; ДТ; переднее, продольное; 2987; турбонаддув; 218 / 160 при 4000; 510 при 1600 – 2400; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
353; Jeep Grand Cherokee IV (WK2) Рестайлинг  ; 2013 ; 1 750 000 ; 130 000 ; 29 марта; 4,3; 3.0 л; 243 л.с.; автомат; дизель; ДТ; полный; 8.2 с; США; 5; 5; 4828; 1943; 1802; 2915; 457/916; 2403; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 202; 8.2; ДТ; переднее, продольное; 2988; турбонаддув; 243 / 179 при 4000; 550 при 1800 – 2800; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 83 × 92
354; Jeep Grand Cherokee IV (WK2) Рестайлинг SRT  ; 2013 ;2 200 000 ; 123 000 ; 29 марта; 4,3; 6.4 л; 468 л.с.; автомат; бензин; АИ-92; полный; 5 с; США; 5; 5; 4846; 1954; 1749; 2914; 457/916; 2191; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 257; 5; АИ-92; переднее, продольное; 6425; нет; 468 / 344 при 6000; 642 при 4200; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
