;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
355; Ford Mondeo V  ; 2017 ; 1 777 000 ; 2 000 ; 22 апреля; 4,6; 2.0 л; 199 л.с.; автомат; бензин; АИ-95; передний; 8.7 с; США; 4; 5; 4871; 1852; 1482; 2850; 429; 1550; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 218; 8.7; АИ-95; переднее, поперечное; 1999; турбонаддув; 199 / 146 при 5300; 345 при 2700 – 3500; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
356; Ford Mondeo III Рестайлинг  ; 2005 ; 230 000 ; 300 000 ; 22 апреля; 4,7; 1.8 л; 125 л.с.; механика; бензин; АИ-95; передний; 10.8 с; США; 4; 5; 4731; 1812; 1429; 2754; 500; 1330; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 205; 10.8; АИ-95; переднее, поперечное; 1798; нет; 125 / 92 при 5500; 170 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
357; Ford Focus III  ; 2012 ; 450 000 ; 85 000 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 12.4 с; США; 4; 5; 4534; 1823; 1484; 2648; 372; 1290; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 189; 12.4; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
358; Ford Focus III  ; 2012 ; 440 000 ; 107 000 ; 22 апреля; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.8 с; США; 4; 5; 4534; 1823; 1484; 2648; 372; 1324; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.8; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
359; Ford Kuga II  ; 2013 ; 935 000 ; 60 000 ; 22 апреля; 4,3; 1.6 л; 150 л.с.; автомат; бензин; АИ-95; полный; 10.7 с; США; 5; 5; 4524; 1838; 1745; 2690; 456/1653; 1682; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 10.7; АИ-95; переднее, поперечное; 1597; турбонаддув; 150 / 110 при 5700; 240 при 1600 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 79 × 81.4
360; Ford Focus III  ; 2012 ; 435 000 ; 70 000 ; 22 апреля; 4,2; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 12.3 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1270; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 12.3; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
361; Ford Kuga II  ; 2013 ; 855 000 ; 75 000 ; 22 апреля; 4,3; 1.6 л; 150 л.с.; автомат; бензин; АИ-95; полный; 10.7 с; США; 5; 5; 4524; 1838; 1745; 2690; 456/1653; 1682; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 10.7; АИ-95; переднее, поперечное; 1597; турбонаддув; 150 / 110 при 5700; 240 при 1600 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 79 × 81.4
362; Ford Mondeo IV Рестайлинг  ; 2011 ; 435 000 ; 130 000 ; 22 апреля; 4,5; 1.6 л; 125 л.с.; механика; бензин; АИ-95; передний; 12.3 с; США; 4; 5; 4850; 1886; 1500; 2850; 493; 1435; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 195; 12.3; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6300; 160 при 4100; рядное; 4; 4; непосредственный впрыск (прямой);; 
363; Ford Focus III  ; 2012 ; 555 000 ; 85 000 ; 22 апреля; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.8 с; США; 4; 5; 4534; 1823; 1484; 2648; 372; 1324; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 11.8; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
364; Ford Focus II  ; 2007 ; 300 000 ; 187 102 ; 23 апреля; 4,3; 1.8 л; 125 л.с.; механика; бензин; АИ-95; передний; 10.6 с; США; 4; 5; 4488; 1839; 1458; 2639; 490; 1295; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 193; 10.6; АИ-95; переднее, поперечное; 1798; нет; 125 / 92 при 6000; 165 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
365; Ford Focus III  ; 2015 ; 507 900 ; 143 250 ; 23 апреля; 4,2; 1.6 л; 125 л.с.; механика; бензин; АИ-95; передний; 10.9 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1276; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 196; 10.9; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
366; Ford Fusion I Рестайлинг  ; 2007 ; 330 000 ; 80 000 ; 23 апреля; 4,0; 1.6 л; 101 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; США; 5; 5; 4013; 1724; 1543; 2486; 337/1175; 1115; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 176; 13.1; АИ-95; переднее, поперечное; 1596; нет; 101 / 74 при 6000; 146 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
