;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
77; Land Rover Range Rover Sport I Рестайлинг  ; 2012 ; 1 525 000 ; 98 000 ; 23 апреля; 4,5; 3.0 л; 245 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4783; 2004; 1784; 2745; 960/2015; 2535; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 193; 9.3; ДТ; переднее, продольное; 2993; турбонаддув; 245 / 180 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
78; Land Rover Range Rover Sport I  ; 2008 ; 850 000 ; 202 000 ; 23 апреля; 4,7; 4.4 л; 299 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Великобритания; 5; 5; 4790; 1930; 1785; 2745; 960/2015; 2410; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 209; 8.9; АИ-95; переднее, продольное; 4394; нет; 299 / 220 при 5500; 425 при 4000; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.8; 88 × 90.3
79; Land Rover Range Rover Sport I Рестайлинг  ; 2012 ; 1 498 000 ; 97 000 ; 23 апреля; 4,5; 3.0 л; 245 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4783; 2004; 1784; 2745; 960/2015; 2535; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 193; 9.3; ДТ; переднее, продольное; 2993; турбонаддув; 245 / 180 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
80; Land Rover Range Rover IV  ; 2014 ; 3 500 000 ; 78 000 ; 23 апреля; 4,1; 3.0 л; 248 л.с.; автомат; дизель; ДТ; полный; 7.9 с; Великобритания; 5; 5; 4999; 2220; 1835; 2922; 909/2030; 2160; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 209; 7.9; ДТ; переднее, продольное; 2993; турбонаддув; 248 / 182 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
81; Land Rover Range Rover IV  ; 2014 ; 3 788 888 ; 48 500 ; 2 марта; 4,1; 4.4 л; 339 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Великобритания; 5; 5; 4999; 2220; 1835; 2922; 909/2030; 2360; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 217; 6.9; ДТ; переднее, продольное; 4367; турбонаддув; 339 / 250 при 3500; 700 при 1750 – 3000; V-образное; 8; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 98.5
82; Land Rover Discovery III  ; 2008 ; 830 000 ; 147 000 ; 23 апреля; 4,6; 2.7 л; 190 л.с.; автомат; дизель; ДТ; полный; 11.7 с; Великобритания; 5; 7; 4835; 1915; 1887; 2885; 280/2558; 2435; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 180; 11.7; ДТ; переднее, продольное; 2720; турбонаддув; 190 / 140 при 4000; 440 при 1900; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 88
83; Land Rover Freelander II  ; 2009 ; 720 000 ; 114 000 ; 23 апреля; 4,6; 2.2 л; 160 л.с.; автомат; дизель; ДТ; полный; 11.2 с; Великобритания; 5; 5; 4500; 1910; 1740; 2660; 755/1670; 1805; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.2; ДТ; переднее, поперечное; 2179; турбонаддув; 160 / 118 при 4000; 400 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 85 × 96
84; Land Rover Discovery IV  ; 2009 ; 1 250 000 ; 190 000 ; 23 апреля; 4,6; 3.0 л; 245 л.с.; автомат; дизель; ДТ; полный; 9.6 с; Великобритания; 5; 5, 7; 4829; 1915; 1887; 2885; 1260/2558; 2583; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180; 9.6; ДТ; переднее, продольное; 2993; турбонаддув; 245 / 180 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
85; Land Rover Range Rover Sport I  ; 2008 ; 780 000 ; 178 000 ; 23 апреля; 4,7; 3.6 л; 272 л.с.; автомат; дизель; ДТ; полный; 9.2 с; Великобритания; 5; 5; 4790; 1930; 1785; 2745; 960/2015; 2575; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 209; 9.2; ДТ; переднее, продольное; 3628; турбонаддув; 272 / 200 при 4000; 640 при 2000; V-образное; 8; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.3; 81 × 88
86; Land Rover Freelander II  ; 2008 ; 730 000 ; 132 000 ; 23 апреля; 4,6; 3.2 л; 233 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Великобритания; 5; 5; 4500; 1910; 1740; 2660; 755/1670; 1770; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 8.9; АИ-95; переднее, поперечное; 3192; нет; 233 / 171 при 6300; 317 при 3200; рядное; 6; 4; распределенный впрыск (многоточечный); 10.8; 84 × 96
