;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
119; Honda CR-V IV  ; 2012 ; 1 080 000 ; 94 000 ; 23 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-92; полный; 12.8 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1561; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 182; 12.8; АИ-92; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 190 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
120; Honda Civic IX  ; 2012 ; 620 000 ; 108 000 ; 22 апреля; 4,6; 1.8 л; 142 л.с.; автомат; бензин; АИ-95; передний; 10.7 с; Япония; 4; 5; 4545; 1755; 1435; 2675; 440; 1270; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.7; АИ-95; переднее, поперечное; 1799; нет; 142 / 104 при 6500; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
121; Honda CR-V I Рестайлинг  ; 1999 ; 309 000 ; 300 000 ; 23 апреля; 4,3; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; передний;; Япония; 5; 5; 4520; 1750; 1675; 2620; 445/670;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 170;; АИ-95; переднее, поперечное; 1973; нет; 147 / 108 при 5500; 182 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 85 × 88
122; Honda CR-V IV Рестайлинг  ; 2015 ; 1 380 000 ; 80 481 ; 23 апреля; 4,8; 2.0 л; 150 л.с.; автомат; бензин; АИ-92; полный; 12.8 с; Япония; 5; 5; 4605; 1820; 1685; 2630; 589/1669; 1568; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 12.8; АИ-92; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 190 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
123; Honda Accord VII  ; 2004 ; 470 000 ; 102 000 ; 23 апреля; 4,6; 2.4 л; 190 л.с.; автомат; бензин; АИ-95; передний; 9 с; Япония; 4; 5; 4665; 1760; 1445; 2670; 460;; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 9; АИ-95; переднее, поперечное; 2354; нет; 190 / 140 при 6800; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 87 × 99
124; Honda Civic VIII  ; 2008 ; 485 000 ; 107 000 ; 25 марта; 4,4; 1.8 л; 140 л.с.; механика; бензин; АИ-95; передний; 8.9 с; Япония; 5; 5; 4250; 1760; 1460; 2635; 456/1350; 1200; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 205; 8.9; АИ-95; переднее, поперечное; 1799; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
125; Honda Civic VIII  ; 2008 ; 420 000 ; 93 903 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; робот; бензин; АИ-95; передний; 10.9 с; Япония; 5; 5; 4250; 1760; 1460; 2635; 456/1350; 1250; робот; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.9; АИ-95; переднее, поперечное; 1799; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
126; Honda Accord IX  ; 2013 ; 1 165 000 ; 85 123 ; 22 апреля; 4,6; 2.4 л; 180 л.с.; автомат; бензин; АИ-92; передний; 10.1 с; Япония; 4; 5; 4890; 1850; 1465; 2775; 495; 1530; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 214; 10.1; АИ-92; переднее, поперечное; 2356; нет; 180 / 132 при 6200; 228 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.1; 87 × 99.1
127; Honda CR-V III Рестайлинг  ; 2011 ; 975 000 ; 39 342 ; 22 апреля; 4,9; 2.0 л; 150 л.с.; механика; бензин; АИ-95; полный; 10.2 с; Япония; 5; 5; 4574; 1820; 1675; 2620; 442/955; 1499; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.2; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6200; 192 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 96.9
128; Honda CR-V III  ; 2008 ; 675 100 ; 82 072 ; 22 апреля; 4,4; 2.0 л; 150 л.с.; механика; бензин; АИ-95; полный; 10.2 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1498; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.2; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6200; 192 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 96.9
129; Honda Civic VIII  ; 2008 ; 465 000 ; 99 585 ; 21 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
130; Honda Accord IX  ; 2013 ; 940 000 ; 95 300 ; 21 апреля; 4,6; 2.4 л; 180 л.с.; автомат; бензин; АИ-92; передний; 10.1 с; Япония; 4; 5; 4890; 1850; 1465; 2775; 495; 1530; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 214; 10.1; АИ-92; переднее, поперечное; 2356; нет; 180 / 132 при 6200; 228 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.1; 87 × 99.1
131; Honda Civic VIII  ; 2007 ; 350 000 ; 200 087 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
132; Honda CR-V IV  ; 2014 ; 1 279 000 ; 70 572 ; 22 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-92; полный; 12.8 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1561; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 182; 12.8; АИ-92; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 190 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
133; Honda Stream I  ; 2001 ; 185 000 ; 325 000 ; 22 апреля; 4,3; 1.7 л; 125 л.с.; механика; бензин; АИ-95; передний; 11.1 с; Япония; 5; 7; 4550; 1695; 1590; 2720; 158/431; 1430; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.1; АИ-95; переднее, поперечное; 1668; нет; 125 / 92 при 6300; 153 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 9.9; 75 × 94.4
134; Honda Civic VIII  ; 2008 ; 447 000 ; 96 630 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
135; Honda Civic IX  ; 2012 ; 695 000 ; 116 300 ; 21 апреля; 4,6; 1.8 л; 142 л.с.; автомат; бензин; АИ-95; передний; 10.9 с; Япония; 5; 5; 4300; 1770; 1440; 2595; 477/1210; 1242; автомат; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые вентилируемые; 210; 10.9; АИ-95; переднее, поперечное; 1799; нет; 142 / 104 при 6500; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 
136; Honda Shuttle I  ; 1995 ; 220 000 ; 200 000 ; 23 апреля;  ; 2.2 л; 150 л.с.; автомат; бензин; АИ-95; передний; 12.1 с; Япония; 5; 7; 4770; 1795; 1630; 2830; 290/1237;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 183; 12.1; АИ-95; переднее, поперечное; 2155; нет; 150 / 110 при 5900; 198 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 85 × 95
137; Honda Civic VIII Рестайлинг  ; 2009 ; 510 000 ; 125 264 ; 22 апреля; 4,6; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.6 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 389; 1291; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.6; АИ-95; переднее, поперечное; 1799; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
138; Honda CR-V III  ; 2008 ; 719 000 ; 104 900 ; 22 апреля; 4,4; 2.4 л; 166 л.с.; автомат; бензин; АИ-95; полный; 10 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1595; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2354; нет; 166 / 122 при 5800; 220 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 87 × 99
139; Honda Pilot II  ; 2008 ; 795 000 ; 93 000 ; 22 апреля; 4,6; 3.5 л; 257 л.с.; автомат; бензин; АИ-92; полный; 9.9 с; Япония; 5; 8; 4870; 1995; 1845; 2780; 510/2464; 2062; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.9; АИ-92;; 3471; нет; 257 / 189 при 5700; 347 при 4800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 89 × 93
140; Honda CR-V IV  ; 2014 ; 1 599 000 ; 27 831 ; 21 апреля; 4,4; 2.4 л; 190 л.с.; автомат; бензин; АИ-92; полный; 10.7 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1569; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 184; 10.7; АИ-92; переднее, поперечное; 2354; нет; 190 / 140 при 7000; 220 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87 × 99
141; Honda CR-V III  ; 2008 ; 799 000 ; 76 622 ; 22 апреля; 4,4; 2.4 л; 166 л.с.; автомат; бензин; АИ-95; полный; 10 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1595; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2354; нет; 166 / 122 при 5800; 220 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 87 × 99
142; Honda CR-V III  ; 2007 ; 600 000 ; 122 120 ; 22 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 12.2 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1533; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 1997; нет; 150 / 110 при 6200; 192 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 96.9
143; Honda Civic VIII  ; 2007 ; 385 000 ; 119 000 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
144; Honda Civic VIII  ; 2007 ; 399 000 ; 119 000 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
145; Honda Civic VIII  ; 2008 ; 415 000 ; 108 200 ; 22 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
146; Honda Accord VIII  ; 2011 ; 599 000 ; 126 000 ; 22 апреля; 4,5; 2.0 л; 156 л.с.; автомат; бензин; АИ-95; передний; 10.9 с; Япония; 4; 5; 4726; 1840; 1440; 2705; 467; 1443; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 212; 10.9; АИ-95; переднее, поперечное; 1997; нет; 156 / 115 при 6300; 192 при 4100 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
