;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
25; BMW 3 серия V (E90/E91/E92/E93) Рестайлинг 320i  ; 2011 ; 730 000 ; 159 854 ; 24 апреля; 4,3; 2.0 л; 156 л.с.; автомат; бензин; АИ-95; задний; 9.8 с; Германия; 4; 5; 4531; 1817; 1421; 2760; 460; 1445; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 218; 9.8; АИ-95; переднее, продольное; 1995; нет; 156 / 115 при 6400; 200 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
26; BMW 5 серия III (E34) 525i  ; 1989 ; 110 000 ; 258 088 ; 16 апреля; 4,4; 2.5 л; 170 л.с.; механика; бензин; АИ-92; задний; 9.5 с; Германия; 4; 5; 4720; 1751; 1412; 2761; 460; 1450; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 221; 9.5; АИ-92; переднее, продольное; 2494; нет; 170 / 125 при 5900; 222 при 4300; рядное; 6; 2; распределенный впрыск (многоточечный);; 
27; BMW 5 серия VI (F10/F11/F07) 520i  ; 2013 ; 1 150 000 ; 74 100 ; 24 апреля; 4,7; 2.0 л; 184 л.с.; автомат; бензин; АИ-95; задний; 8 с; Германия; 4; 5; 4899; 1860; 1464; 2968; 530; 1610; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 226; 8; АИ-95; переднее, продольное; 1997; турбонаддув; 184 / 135 при 5000 – 6250; 270 при 1250 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 84 × 90.1
28; BMW X5 I (E53) Рестайлинг 3.0i  ; 2004 ; 490 000 ; 138 000 ; 13 апреля; 4,6; 3.0 л; 231 л.с.; автомат; бензин; АИ-95; полный; 8.8 с; Германия; 5; 5; 4667; 1872; 1715; 2820; 465/1550; 2025; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 8.8; АИ-95; переднее, продольное; 2979; нет; 231 / 170 при 5900; 300 при 3500; рядное; 6; 4; распределенный впрыск (многоточечный); 10.2; 84 × 89.6
29; BMW X5 II (E70) 30d  ; 2010 ; 1 280 000 ; 124 000 ; 23 апреля; 4,5; 3.0 л; 235 л.с.; автомат; дизель; ДТ; полный; 8.1 с; Германия; 5; 5, 7; 4854; 1933; 1766; 2933; 620/1750; 2150; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 216; 8.1; ДТ; переднее, продольное; 2993; турбонаддув; 235 / 173 при 4000; 520 при 1750 – 3000; рядное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17; 84 × 90
30; BMW 3 серия V (E90/E91/E92/E93) Рестайлинг 320i  ; 2010 ; 840 000 ; 117 000 ; 23 апреля; 4,3; 2.0 л; 156 л.с.; автомат; бензин; АИ-95; задний; 9.8 с; Германия; 4; 5; 4531; 1817; 1421; 2760; 460; 1445; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 218; 9.8; АИ-95; переднее, продольное; 1995; нет; 156 / 115 при 6400; 200 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
31; BMW 3 серия VI (F3x) 320d xDrive  ; 2013 ; 1 140 000 ; 73 300 ; 23 апреля; 4,6; 2.0 л; 184 л.с.; автомат; дизель; ДТ; полный; 7.4 с; Германия; 4; 5; 4624; 1811; 1413; 2810; 480; 1520; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 228; 7.4; ДТ; переднее, продольное; 1995; турбонаддув; 184 / 135 при 4000; 380 при 1750 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 90
32; BMW 3 серия V (E90/E91/E92/E93) Рестайлинг 335i  ; 2008 ; 920 306 ; 149 000 ; 13 марта 2017; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33; BMW 5 серия V (E60/E61) Рестайлинг 525i  ; 2007 ; 700 000 ; 190 000 ; 23 апреля; 4,7; 2.5 л; 218 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Германия; 4; 5; 4841; 1846; 1468; 2888; 520; 1605; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 242; 7.9; АИ-95; переднее, продольное; 2497; нет; 218 / 160 при 6500; 250 при 2750; рядное; 6; 4; распределенный впрыск (многоточечный); 11; 88 × 85
34; BMW X3 I (E83) Рестайлинг 25i  ; 2009 ;890 000 ; 117 000 ; 23 апреля; 4,6; 2.5 л; 218 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Германия; 5; 5; 4569; 1853; 1674; 2795; 480/1560; 1735; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 8.9; АИ-95; переднее, продольное; 2497; нет; 218 / 160 при 6500; 250 при 2750; рядное; 6; 4; распределенный впрыск (многоточечный); 11; 82 × 78.8
